Entity,Code,Year,Per capita plastic waste (kg/person/day),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Per capita mismanaged plastic waste,Continent
Albania,ALB,2010,0.069,10749.48745,2948029,0.032,Europe
Algeria,DZA,2010,0.144,10970.70637,35977451,0.086,Africa
Angola,AGO,2010,0.062,7692.434286,23356247,0.045,Africa
Anguilla,AIA,2010,0.252,,13436,0.01,North America
Antigua and Barbuda,ATG,2010,0.66,18205.73853,88030,0.051,North America
Argentina,ARG,2010,0.183,23521.27018,40895751,0.026,South America
Australia,AUS,2010,0.112,44991.78371,22154687,0.002,Oceania
Bahamas,BHS,2010,0.39,36504.40705,354936,0.011,North America
Bahrain,BHR,2010,0.132,44599.80497,1240864,0.016,Asia
Bangladesh,BGD,2010,0.034,2883.466794,147575433,0.03,Asia
Barbados,BRB,2010,0.57,15596.61681,282131,0.034,North America
Belgium,BEL,2010,0.08,47971.63031,10938735,0.002,Europe
Belize,BLZ,2010,0.172,7294.684143,322465,0.053,North America
Benin,BEN,2010,0.043,2704.705484,9199254,0.036,Africa
Brazil,BRA,2010,0.165,14873.20832,195713637,0.017,South America
Brunei,BRN,2010,0.026,67753.42177,388634,0.001,Asia
Bulgaria,BGR,2010,0.154,17440.67188,7425011,0.051,Europe
Cambodia,KHM,2010,0.066,2716.699738,14312205,0.058,Asia
Cameroon,CMR,2010,0.046,3086.221474,20341236,0.038,Africa
Canada,CAN,2010,0.093,44861.52396,34147566,0.002,North America
Cape Verde,CPV,2010,0.065,6200.343537,492644,0.049,Africa
Chile,CHL,2010,0.119,21262.46699,17062531,0.011,South America
China,CHN,2010,0.121,8884.588031,1368810604,0.092,Asia
Comoros,COM,2010,0.201,2878.26971,689696,0.169,Africa
Costa Rica,CRI,2010,0.258,16830.43618,4577371,0.047,North America
Cote d'Ivoire,CIV,2010,0.103,3660.903847,20532944,0.086,Africa
Cuba,CUB,2010,0.089,,11225833,0.022,North America
Cyprus,CYP,2010,0.248,38379.0904,1112617,0.006,Europe
Democratic Republic of Congo,COD,2010,0.045,865.6840402,64563853,0.039,Africa
Denmark,DNK,2010,0.047,50825.41229,5554849,0.001,Europe
Dominica,DMA,2010,0.149,12003.76608,70877,0.031,North America
Ecuador,ECU,2010,0.147,10340.9703,15011114,0.047,South America
Egypt,EGY,2010,0.178,10340.07323,82761244,0.122,Africa
Estonia,EST,2010,0.176,26133.38181,1332103,0.019,Europe
Fiji,FJI,2010,0.189,10547.9304,859816,0.151,Oceania
Finland,FIN,2010,0.234,45874.6613,5365784,0.005,Europe
France,FRA,2010,0.192,42147.67168,62879535,0.004,Europe
Gabon,GAB,2010,0.054,14415.44591,1624146,0.019,Africa
Gambia,GMB,2010,0.048,2346.720479,1793199,0.041,Africa
Georgia,GEO,2010,0.068,9736.732094,4099095,0.035,Asia
Germany,DEU,2010,0.485,46929.99341,80827001,0.01,Europe
Ghana,GHA,2010,0.04,3729.475903,24779614,0.032,Africa
Greece,GRC,2010,0.2,33753.61775,10887640,0.004,Europe
Grenada,GRD,2010,0.325,13412.79337,106227,0.064,North America
Guatemala,GTM,2010,0.28,7335.988974,14630420,0.105,North America
Guinea,GIN,2010,0.03,1870.800051,10192168,0.025,Africa
Guyana,GUY,2010,0.586,9789.0167,749430,0.224,South America
Haiti,HTI,2010,0.09,2735.283617,9949318,0.044,North America
Hong Kong,HKG,2010,0.398,51360.96698,6966324,0.01,Asia
Iceland,ISL,2010,0.281,47457.62292,320342,0.006,Europe
India,IND,2010,0.01,4234.979573,1234281163,0.009,Asia
Indonesia,IDN,2010,0.057,8286.73287,241834226,0.047,Asia
Ireland,IRL,2010,0.43,53725.0336,4554330,0.009,Europe
Israel,ISR,2010,0.297,34800.24747,7346446,0.008,Asia
Italy,ITA,2010,0.134,42664.35527,59325232,0.003,Europe
Japan,JPN,2010,0.171,37586.16715,128542349,0.003,Asia
Kenya,KEN,2010,0.027,3329.853752,42030684,0.023,Africa
Kuwait,KWT,2010,0.686,58810.40487,2991884,0.014,Asia
Latvia,LVA,2010,0.124,21023.90133,2118855,0.02,Europe
Lebanon,LBN,2010,0.094,19499.1728,4953064,0.034,Asia
Liberia,LBR,2010,0.084,1420.046246,3891357,0.072,Africa
Macao,MAC,2010,0.368,118085.4875,538215,0.007,Asia
Madagascar,MDG,2010,0.016,1553.404722,21151640,0.013,Africa
Malaysia,MYS,2010,0.198,20536.37251,28208028,0.112,Asia
Maldives,MDV,2010,0.322,16305.79888,365730,0.22,Asia
Malta,MLT,2010,0.214,32867.94003,414257,0.018,Europe
Mauritius,MUS,2010,0.23,16797.81724,1247953,0.122,Africa
Mexico,MEX,2010,0.087,17790.01192,114092961,0.012,North America
Morocco,MAR,2010,0.073,6281.464191,32343384,0.049,Africa
Mozambique,MOZ,2010,0.015,1027.208877,23531567,0.013,Africa
Myanmar,MMR,2010,0.075,3129.920255,50600827,0.066,Asia
Netherlands,NLD,2010,0.424,52032.9865,16682927,0.008,Europe
New Zealand,NZL,2010,0.331,37657.1432,4370060,0.007,Oceania
Nicaragua,NIC,2010,0.143,4611.785692,5824058,0.066,North America
Palestine,PSE,2010,0.063,5411.066482,4055632,0.005,Asia
Panama,PAN,2010,0.145,21343.30499,3642691,0.029,North America
Poland,POL,2010,0.097,23996.13978,38329784,0.013,Europe
Portugal,PRT,2010,0.265,31798.15381,10596055,0.005,Europe
Qatar,QAT,2010,0.16,95908.31282,1856329,0.003,Asia
Romania,ROU,2010,0.042,20303.1628,20471860,0.011,Europe
Saint Kitts and Nevis,KNA,2010,0.654,23710.3475,49011,0.054,North America
Saint Lucia,LCA,2010,0.522,14109.41343,174092,0.113,North America
Saint Vincent and the Grenadines,VCT,2010,0.221,11447.46662,108260,0.051,North America
Saudi Arabia,SAU,2010,0.156,44036.76735,27421468,0.016,Asia
Seychelles,SYC,2010,0.358,20892.69175,91273,0.139,Africa
Sierra Leone,SLE,2010,0.041,1413.563736,6415636,0.035,Africa
Singapore,SGP,2010,0.194,78294.03142,5131170,0.004,Asia
South Africa,ZAF,2010,0.24,12452.33753,51216967,0.134,Africa
Spain,ESP,2010,0.277,37319.47622,46931011,0.006,Europe
Sri Lanka,LKA,2010,0.357,9126.865612,20261738,0.299,Asia
Suriname,SUR,2010,0.163,18840.36897,529126,0.027,South America
Tanzania,TZA,2010,0.023,2006.971326,44346532,0.02,Africa
Tonga,TON,2010,0.223,5166.932054,103981,0.176,Oceania
Trinidad and Tobago,TTO,2010,0.29,28879.28737,1328144,0.19,North America
Turkey,TUR,2010,0.212,20027.66683,72326992,0.039,Asia
United Arab Emirates,ARE,2010,0.199,54921.77558,8549998,0.004,Asia
United Kingdom,GBR,2010,0.215,42089.01364,63459801,0.004,Europe
United States,USA,2010,0.335,54315.91248,309011469,0.007,North America
Vanuatu,VUT,2010,0.295,3088.978879,236216,0.245,Oceania
